Gene_id,logFC,padj
Parent=Transcript_B0280.7.1,-2.8117,0.00056747
Parent=Transcript_B0281.1.1,8.3724,5.68E-33
Parent=Transcript_B0281.8.1,Inf,5.55E-46
Parent=Transcript_B0284.2.1,4.5587,9.07E-19
Parent=Transcript_B0284.3.1,4.9629,0.043279
Parent=Transcript_B0284.4.1,9.6717,9.52E-50
Parent=Transcript_B0310.5a.1,-2.3472,3.29E-06
Parent=Transcript_B0310.6.1,-2.5364,0.00025741
Parent=Transcript_B0334.13.1,-3.2162,0.0002942
Parent=Transcript_B0361.9.1,-2.566,7.91E-06
Parent=Transcript_B0395.2.1,-1.9474,0.00049071
Parent=Transcript_B0403.3.1,2.388,1.16E-05
Parent=Transcript_B0410.3.1,-3.1261,5.23E-10
Parent=Transcript_B0416.11.1,-2.1184,0.0040594
Parent=Transcript_B0457.6.1,1.4607,0.010862
Parent=Transcript_B0464.3.1,-1.6679,0.00091664
Parent=Transcript_B0478.3.1,-2.5144,0.00091248
Parent=Transcript_B0496.7.1,3.5616,4.79E-13
Parent=Transcript_B0507.10.1,8.1571,5.55E-46
Parent=Transcript_B0507.5a.1,Inf,0.0014864
Parent=Transcript_B0507.5b.1,5.5731,0.0013177
Parent=Transcript_B0507.7.1,Inf,0.0020313
Parent=Transcript_B0507.8.1,Inf,2.21E-20
Parent=Transcript_B0507.9.1,5.9214,4.38E-23
Parent=Transcript_B0523.5.1,1.2044,0.046903
Parent=Transcript_B0563.2.2,-2.2473,0.032934
Parent=Transcript_C01C10.1.1,-1.4562,0.018684
Parent=Transcript_C01C10.4.1,-1.8979,0.0012236
Parent=Transcript_C01F6.5.1,1.403,0.013493
Parent=Transcript_C01H6.3.1,2.7645,6.54E-05
Parent=Transcript_C02A12.4.1,-3.4355,2.57E-11
Parent=Transcript_C02B8.3.1,-1.4857,0.030699
Parent=Transcript_C02B8.5.1,4.278,0.0025511
Parent=Transcript_C02D5.1.1,-1.9348,0.0035832
Parent=Transcript_C02E7.6.1,-3.3887,4.50E-11
Parent=Transcript_C02E7.7.1,-2.8462,0.0027933
Parent=Transcript_C02F12.4.1,-1.4607,0.0058428
Parent=Transcript_C02F5.11.1,3.8933,1.60E-10
Parent=Transcript_C02F5.8.1,5.3044,6.15E-15
Parent=Transcript_C02G6.3.1,-2.8877,0.0049626
Parent=Transcript_C03A7.2.1,-4.4197,9.54E-12
Parent=Transcript_C03B1.14.1,2.5681,2.13E-07
Parent=Transcript_C03E10.6.1,-3.3915,1.39E-08
Parent=Transcript_C03G5.10.1,-2.1858,7.05E-05
Parent=Transcript_C03G5.11.1,-2.5594,8.23E-08
Parent=Transcript_C03G5.12.1,-3.4641,3.67E-11
Parent=Transcript_C03G5.2.1,-2.4932,0.00015251
Parent=Transcript_C03G5.8.1,-2.4982,7.00E-05
Parent=Transcript_C03G6.5.1,-3.6305,0.0079374
Parent=Transcript_C04B4.2.1,1.2223,0.035621
Parent=Transcript_C04C11.25.1,3.4448,8.73E-09
Parent=Transcript_C04E12.2.1,-2.329,7.90E-06
Parent=Transcript_C04E12.4.1,-2.6892,1.32E-05
Parent=Transcript_C04E6.13.1,-1.6883,0.0033096
Parent=Transcript_C04E6.7.1,-2.0489,0.0030656
Parent=Transcript_C04F12.1.1,2.7478,9.05E-09
Parent=Transcript_C04F6.1.1,-4.2497,1.02E-17
Parent=Transcript_C04F6.3.1,-2.9929,0.00040258
Parent=Transcript_C04G2.14,2.5548,0.03657
Parent=Transcript_C04G6.5.1,3.6249,6.87E-12
Parent=Transcript_C05C12.4.1,-1.6306,0.0030101
Parent=Transcript_C05D12.4.1,-3.5532,0.0004682
Parent=Transcript_C05E11.4.1,-1.8801,0.046496
Parent=Transcript_C05E4.12.1,Inf,2.85E-12
Parent=Transcript_C05E4.15a.1,7.5338,3.67E-14
Parent=Transcript_C05E4.3.1,-1.3929,0.0167
Parent=Transcript_C05G5.1.1,-2.2016,0.00048444
Parent=Transcript_C06A1.1.1,1.2358,0.035198
Parent=Transcript_C06A8.3.1,-1.3493,0.016871
Parent=Transcript_C06C3.7.1,3.9695,3.83E-10
Parent=Transcript_C06E1.1.1,1.4129,0.018806
Parent=Transcript_C06E1.3.1,2.098,0.0013177
Parent=Transcript_C06E1.7.1,1.5729,0.025748
Parent=Transcript_C06E1.8.1,-1.9471,0.022058
Parent=Transcript_C06E7.3b,2.8687,1.22E-06
Parent=Transcript_C06G1.2.1,-5.0967,6.13E-05
Parent=Transcript_C06G8.1.1,-1.8489,0.00087575
Parent=Transcript_C06H5.14.1,#NAME?,0.00047891
Parent=Transcript_C07A9.5.1,-4.3363,0.0033598
Parent=Transcript_C07B5.3.1,-1.8771,0.0031751
Parent=Transcript_C07B5.5.1,-3.537,4.04E-13
Parent=Transcript_C07E3.10.1,-2.6315,0.023744
Parent=Transcript_C07G1.15.1,-3.9362,4.08E-07
Parent=Transcript_C07G2.1a.1,1.2307,0.04579
Parent=Transcript_C08A9.10.1,-1.4795,0.006506
Parent=Transcript_C08E3.6.1,4.1486,5.77E-17
Parent=Transcript_C08E3.8.1,8.3481,6.02E-36
Parent=Transcript_C08F1.6.1,-2.0285,0.0069758
Parent=Transcript_C08F11.38,#NAME?,0.0028346
Parent=Transcript_C08F11.95,#NAME?,0.010909
Parent=Transcript_C08H9.10.1,2.8927,0.0042849
Parent=Transcript_C08H9.15.1,-1.6175,0.0034062
Parent=Transcript_C08H9.7.1,2.5852,0.0011296
Parent=Transcript_C09B9.1.1,-1.622,0.0351
Parent=Transcript_C09C7.1.1,-1.9063,0.001229
Parent=Transcript_C09D4.2.1,-1.3081,0.018238
Parent=Transcript_C09E8.2a.1,-3.5222,0.007843
Parent=Transcript_C09E8.3.1,-2.0661,0.00057872
Parent=Transcript_C09G9.8b.1,2.7275,0.022974
Parent=Transcript_C10C5.4.1,-3.9808,2.95E-15
Parent=Transcript_C10G8.4.1,-1.3385,0.011893
Parent=Transcript_C10G8.6.1,-1.9415,0.0038018
Parent=Transcript_C11D2.3.1,-6.9436,2.43E-22
Parent=Transcript_C11E4.2.1,-2.6217,5.27E-06
Parent=Transcript_C12C8.1.1,3.7149,7.95E-14
Parent=Transcript_C12D5.9.1,-3.7308,6.19E-10
Parent=Transcript_C12D8.17.1,-2.2249,4.58E-05
Parent=Transcript_C13A10.2.1,1.4685,0.022563
Parent=Transcript_C13C4.6.1,-3.6108,5.57E-11
Parent=Transcript_C14A4.6.1,-2.4764,1.39E-06
Parent=Transcript_C14A4.9.1,-4.6161,2.92E-15
Parent=Transcript_C14A6.1.1,-3.6069,1.16E-12
Parent=Transcript_C14C11.4.1,-4.5465,5.32E-13
Parent=Transcript_C14F5.1a.1,-1.4496,0.013069
Parent=Transcript_C14F5.2.1,-3.0186,1.61E-09
Parent=Transcript_C15A11.4.1,1.8307,0.00074409
Parent=Transcript_C15B12.1.1,-6.1895,1.88E-24
Parent=Transcript_C15C6.1.1,-2.5449,5.57E-07
Parent=Transcript_C15C8.1.1,-2.0378,0.00053879
Parent=Transcript_C15H9.1.1,-2.9461,1.60E-09
Parent=Transcript_C15H9.4.1,1.4487,0.042453
Parent=Transcript_C15H9.7.1,-1.6716,0.001372
Parent=Transcript_C16B8.8,Inf,0.013113
Parent=Transcript_C16C4.10.1,8.8147,1.22E-27
Parent=Transcript_C16C4.11.1,Inf,1.22E-15
Parent=Transcript_C16C4.12.1,Inf,0.0056239
Parent=Transcript_C16C4.15.1,4.1756,1.19E-13
Parent=Transcript_C16C8.9.1,-3.9666,8.46E-05
Parent=Transcript_C16D9.9.1,-2.487,8.43E-05
Parent=Transcript_C16H3.2.1,-2.6782,0.0031263
Parent=Transcript_C17B7.4.1,-2.9633,6.67E-09
Parent=Transcript_C17C3.3.1,-3.7211,0.022974
Parent=Transcript_C17E7.13.1,-2.6338,0.022554
Parent=Transcript_C17E7.4.1,1.2258,0.034275
Parent=Transcript_C17G1.14.1,2.3248,0.0034802
Parent=Transcript_C17G1.2.1,-1.5756,0.0025851
Parent=Transcript_C17G10.7.1,-2.3547,1.64E-05
Parent=Transcript_C17H1.13b.1,Inf,0.00024113
Parent=Transcript_C17H1.2.1,Inf,1.01E-14
Parent=Transcript_C17H1.3.1,6.9349,7.46E-30
Parent=Transcript_C17H1.4a.1,Inf,1.36E-14
Parent=Transcript_C17H1.5.1,7.4703,1.12E-39
Parent=Transcript_C17H1.6.1,8.7478,3.32E-40
Parent=Transcript_C17H1.7.1,8.1191,3.21E-43
Parent=Transcript_C17H1.9.1,5.9807,8.75E-22
Parent=Transcript_C17H12.21,-3.0989,0.038296
Parent=Transcript_C18A11.1.1,-1.3302,0.013848
Parent=Transcript_C18C4.2.1,-1.7797,0.0046322
Parent=Transcript_C18C4.9.1,-1.9823,0.0059739
Parent=Transcript_C18D1.3.1,-1.5868,0.0057749
Parent=Transcript_C18E3.3.1,1.681,0.0016729
Parent=Transcript_C18F10.2.1,-2.2788,0.041419
Parent=Transcript_C18F10.7a.1,1.2252,0.0351
Parent=Transcript_C18H9.1.1,Inf,1.67E-05
Parent=Transcript_C18H9.3d.1,1.444,0.043994
Parent=Transcript_C18H9.5.1,-1.2327,0.047104
Parent=Transcript_C23G10.14a,2.292,0.019964
Parent=Transcript_C23H5.15.1,-1.4103,0.025826
Parent=Transcript_C23H5.3.1,-2.1897,0.0085719
Parent=Transcript_C24B5.4.1,-2.274,0.033921
Parent=Transcript_C24B9.9.1,-5.7603,4.03E-15
Parent=Transcript_C24G6.7.1,-2.0104,0.006894
Parent=Transcript_C25A11.1.1,3.3822,0.0082027
Parent=Transcript_C25A11.10.1,2.3781,5.98E-05
Parent=Transcript_C25A11.2.1,1.8866,0.00018073
Parent=Transcript_C25A11.4b.1,-1.3344,0.026992
Parent=Transcript_C25B8.7.1,-3.2772,0.00026046
Parent=Transcript_C25E10.16.1,-2.9481,0.013064
Parent=Transcript_C25F9.12.1,2.7864,0.0059323
Parent=Transcript_C25G6.2.1,-2.3283,0.0043685
Parent=Transcript_C25H3.15.1,3.7786,1.87E-13
Parent=Transcript_C25H3.5.1,-2.132,0.00083467
Parent=Transcript_C26B9.3.1,-2.3874,4.85E-06
Parent=Transcript_C26B9.5.1,-3.4896,1.20E-12
Parent=Transcript_C26C6.9.1,-2.5515,3.00E-07
Parent=Transcript_C26F1.10.1,-1.3161,0.028682
Parent=Transcript_C27A2.8.1,-2.7978,0.00055581
Parent=Transcript_C27C12.2.1,1.4709,0.013043
Parent=Transcript_C27C12.3.1,1.3603,0.018428
Parent=Transcript_C28C12.3.1,-2.8966,0.0023408
Parent=Transcript_C28C12.5.1,-5.6752,2.19E-10
Parent=Transcript_C28G1.6.1,-1.3948,0.01696
Parent=Transcript_C29F3.5.1,-5.1089,1.16E-08
Parent=Transcript_C29F5.1.1,-1.5164,0.0047072
Parent=Transcript_C29F7.1.1,-1.7773,0.0037718
Parent=Transcript_C29F7.3.1,-1.3908,0.013346
Parent=Transcript_C29F9.1.1,2.169,1.93E-05
Parent=Transcript_C29F9.2.1,2.1729,0.0011757
Parent=Transcript_C29G2.6.1,-1.4381,0.010277
Parent=Transcript_C29H12.6.1,-1.6802,0.0037631
